Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	Lg1	23-MAY-13 9:30:01AM	User Waypoint	N31.49100 W108.94852	1633 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Lichen 7	22-MAY-13 11:20:14AM	User Waypoint	N31.49318 W108.93664	1616 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Lichen 8	22-MAY-13 11:29:07AM	User Waypoint	N31.49357 W108.93647	1617 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Med 2	18-MAY-13 4:33:11PM	User Waypoint	N31.51231 W109.00121	1674 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Med Wbr	18-MAY-13 4:08:51PM	User Waypoint	N31.50808 W109.00957	1688 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pelvis	22-MAY-13 3:44:07PM	User Waypoint	N31.52757 W108.97878	1651 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pool 1, 3Trtls	25-MAY-13 12:21:14PM	User Waypoint	N31.86676 W109.37760	1736 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pool 2	26-MAY-13 10:50:37AM	User Waypoint	N31.86667 W109.37809	1731 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Possible Ant D	22-MAY-13 2:15:54PM	User Waypoint	N31.52626 W108.97683	1653 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Soil	26-MAY-13 11:09:37AM	User Waypoint	N31.86685 W109.37742	1740 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Soilg1	27-MAY-13 2:58:03PM	User Waypoint	N31.52739 W108.98933	1675 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Soilg2	27-MAY-13 3:03:38PM	User Waypoint	N31.52735 W108.98929	1675 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Zone Tail	18-MAY-13 4:22:07PM	User Waypoint	N31.51021 W109.00546	1681 m				Symbol & Name	Black	Flag, Blue							

